[1]   "Communications"
[173] "Ancienne bar PV,MP,XP"
[174] "Ombre sous les joueurs"
[175] "Comp. Invalide"
[176] "Intelligence"
[177] "Endurance"
[178] "Force"
[179] "Sagesse"
[180] "Agilité"
[181] "Attaque"
[182] "Esquive"
[183] "Domage"
[184] "Rayon"
[185] "Resist: Air"
[186] "Resist: Feu"
[187] "Resist: Eau"
[188] "Resist: Terre"
[189] "Puissance: Air "
[190] "Puissance: Feu"
[191] "Puissance: Eau"
[192] "Puissance: Terre"
[193] "CA"
[194] "Resist: Lumière"
[195] "Resist: Necro"
[196] "Puissance: Lumière"
[197] "Puissance: Necro"
[198] "Max PV"
[199] "Max Mana"
[200] "Comp.: Coup assommant"
[201] "Comp.: Coup puissant"
[202] "Comp.: Premiers soins"
[203] "Comp.: Parade"
[204] "Comp.: Méditation"
[205] "Comp.: Esquive"
[206] "Comp.: Attaque"
[207] "Comp.: Dissimulation"
[208] "Comp.: Voler"
[209] "Comp.: Faufiler"
[210] "Comp.: Chercher"
[211] "Comp.: Crocheter"
[212] "Comp.: Transpercer l'armure"
[213] "Comp.: Coup d'oeil"
[214] "Comp.: Guérison rapide"
[215] "Comp.: Archerie"
[216] "Comp.: Arme à deux Main"
[217] "Afficher decor animé/lumière"
[218] "Afficher effets météo"
[219] "Déconnexion..."
[220] "Début de la déconnexion sécurisée..."
[221] "Votre personnage a été dérangé, sortie du jeu annulée."
[222] "Le personnage est en zone sûre, Déconnexion..."
[223] "Guilde"
[224] "Partir"
[225] "Êtes-vous sûr de vouloir quitter cette guilde?"
